fact_prefix,target_true_str,type,target_new_str,irrelevant_word,prompt_c,prompt_nc0,prompt_nc1,p_correct_c,p_correct_nc0,p_correct_nc1,lo_correct_c,lo_correct_nc0,lo_correct_nc1,log_bf0,log_bf1
Anthony Davis plays the sport of,basketball,sport,track,mirror,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word basketball.
<</SYS>>
Anthony Davis plays the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word track.
<</SYS>>
Anthony Davis plays the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word mirror.
<</SYS>>
Anthony Davis plays the sport of [/INST] ",0.7349419805512107,0.9968697295047684,0.9922460034493293,1.0198428147332472,5.763500677922225,4.8517626694857245,-4.743657863188977,-3.8319198547524773
Derek Jeter played the sport of,baseball,sport,track,forest,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word baseball.
<</SYS>>
Derek Jeter played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word track.
<</SYS>>
Derek Jeter played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word forest.
<</SYS>>
Derek Jeter played the sport of [/INST] ",0.12009028395972461,0.992435772929923,0.9930733503629067,-1.9915754805727885,4.876732127867652,4.965428290304565,-6.868307608440441,-6.957003770877353
Julio Jones plays the sport of,football,sport,soccer,ocean,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word football.
<</SYS>>
Julio Jones plays the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word soccer.
<</SYS>>
Julio Jones plays the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word ocean.
<</SYS>>
Julio Jones plays the sport of [/INST] ",0.006034590641966782,0.9967746837552982,0.997074652046493,-5.104194385023589,5.73349374438113,5.831412211762501,-10.837688129404718,-10.93560659678609
Usain Bolt competes in the sport of,track,sport,hockey,bird,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word track.
<</SYS>>
Usain Bolt competes in the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word hockey.
<</SYS>>
Usain Bolt competes in the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word bird.
<</SYS>>
Usain Bolt competes in the sport of [/INST] ",0.21266301203334745,0.5470088613668372,0.6755375107021598,-1.3089475401321804,0.18859243845462886,0.7333387520572497,-1.4975399785868093,-2.0422862921894303
B.B. King plays the,guitar,instrument,trumpet,lighthouse,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word guitar.
<</SYS>>
B.B. King plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word trumpet.
<</SYS>>
B.B. King plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word lighthouse.
<</SYS>>
B.B. King plays the [/INST] ",0.024863264947017204,0.355805804575085,0.3258776763752559,-3.669186291438439,-0.5936151370893435,-0.7268894983935413,-3.0755711543490953,-2.9422967930448976
Les Paul plays the,guitar,instrument,violin,mountain,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word guitar.
<</SYS>>
Les Paul plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word violin.
<</SYS>>
Les Paul plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word mountain.
<</SYS>>
Les Paul plays the [/INST] ",0.06612341537207914,0.36956847614054206,0.18863023074635538,-2.647821367361416,-0.534068499113205,-1.4589352449330466,-2.113752868248211,-1.1888861224283693
Luka Dončić plays the sport of,basketball,sport,baseball,island,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word basketball.
<</SYS>>
Luka Dončić plays the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word baseball.
<</SYS>>
Luka Dončić plays the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word island.
<</SYS>>
Luka Dončić plays the sport of [/INST] ",0.7600267001257347,0.9992065571524429,0.9975758595151232,1.152825897778361,7.138335288564786,6.019851173176646,-5.985509390786425,-4.8670252753982854
The Ganges River is in the country of,India,country,France,waterfall,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word India.
<</SYS>>
The Ganges River is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word France.
<</SYS>>
The Ganges River is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word waterfall.
<</SYS>>
The Ganges River is in the country of [/INST] ",7.270080920812427e-05,0.9992768268233416,0.9981630784204545,-9.529085339248955,7.231138404579234,6.297825552285957,-16.76022374382819,-15.826910891534911
Steffi Graf played the sport of,tennis,sport,snowboarding,leaf,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word tennis.
<</SYS>>
Steffi Graf played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word snowboarding.
<</SYS>>
Steffi Graf played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word leaf.
<</SYS>>
Steffi Graf played the sport of [/INST] ",0.36587771839143274,0.9996142846507519,0.9983868054065942,-0.5499426342182566,7.8600251079644305,6.427924349249515,-8.409967742182687,-6.977866983467771
The Edinburgh Castle is in the country of,Scotland,country,Italy,radio,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Scotland.
<</SYS>>
The Edinburgh Castle is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Italy.
<</SYS>>
The Edinburgh Castle is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word radio.
<</SYS>>
The Edinburgh Castle is in the country of [/INST] ",0.6718824618648734,0.9998905534618304,0.9997376214737939,0.7167115251200051,9.119964911300062,8.245459927394265,-8.403253386180058,-7.5287484022742595
Drew Brees played the sport of,football,sport,baseball,cloud,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word football.
<</SYS>>
Drew Brees played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word baseball.
<</SYS>>
Drew Brees played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word cloud.
<</SYS>>
Drew Brees played the sport of [/INST] ",0.008296197139518,0.9958296629378838,0.9970309475602592,-4.783627243026935,5.47557935902429,5.81653895211143,-10.259206602051226,-10.600166195138364
Wayne Gretzky played the sport of,hockey,sport,tennis,butterfly,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word hockey.
<</SYS>>
Wayne Gretzky played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word tennis.
<</SYS>>
Wayne Gretzky played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word butterfly.
<</SYS>>
Wayne Gretzky played the sport of [/INST] ",0.029942619045307973,0.9943807854760326,0.9969445815401978,-3.4780723737423656,5.17592832755952,5.78777862457286,-8.654000701301886,-9.265850998315226
Fernando Tatis Jr. plays the sport of,baseball,sport,basketball,lion,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word baseball.
<</SYS>>
Fernando Tatis Jr. plays the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word basketball.
<</SYS>>
Fernando Tatis Jr. plays the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word lion.
<</SYS>>
Fernando Tatis Jr. plays the sport of [/INST] ",0.6363832175977714,0.9984950709937713,0.9990932635290809,0.559700407816552,6.497503491285714,7.004751552516516,-5.937803083469163,-6.445051144699963
Michael Jordan played the sport of,basketball,sport,track,cactus,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word basketball.
<</SYS>>
Michael Jordan played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word track.
<</SYS>>
Michael Jordan played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word cactus.
<</SYS>>
Michael Jordan played the sport of [/INST] ",0.5296469812656285,0.9994958344751838,0.9991711123566154,0.11872719508017326,7.592101628898243,7.094596713362207,-7.47337443381807,-6.975869518282034
Cliff Burton plays the,bass,instrument,banjo,pyramid,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word bass.
<</SYS>>
Cliff Burton plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word banjo.
<</SYS>>
Cliff Burton plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word pyramid.
<</SYS>>
Cliff Burton plays the [/INST] ",0.4562862574448115,0.921878999396452,0.9567189409300811,-0.17530252970993898,2.468155063375518,3.0957945562488796,-2.643457593085457,-3.2710970859588184
The Amazon Rainforest is in the country of,Brazil,country,Nepal,robot,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Brazil.
<</SYS>>
The Amazon Rainforest is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Nepal.
<</SYS>>
The Amazon Rainforest is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word robot.
<</SYS>>
The Amazon Rainforest is in the country of [/INST] ",0.030403424167688462,0.9987366171007095,0.9982461309689786,-3.4623248446186228,6.67269813341838,6.344175647704925,-10.135022978037004,-9.806500492323547
Mick Mars plays the,guitar,instrument,saxophone,umbrella,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word guitar.
<</SYS>>
Mick Mars plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word saxophone.
<</SYS>>
Mick Mars plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word umbrella.
<</SYS>>
Mick Mars plays the [/INST] ",0.0016217165510962284,0.27148433359045576,0.12483826706056837,-6.422647058318177,-0.9871046958842365,-1.9473896708995695,-5.4355423624339405,-4.475257387418608
The element with atomic symbol Ag is,silver,element,helium,grape,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word silver.
<</SYS>>
The element with atomic symbol Ag is [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word helium.
<</SYS>>
The element with atomic symbol Ag is [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word grape.
<</SYS>>
The element with atomic symbol Ag is [/INST] ",2.3806659436247143e-05,0.9989060414826948,0.9989084015036419,-10.645521401237374,6.816857936742774,6.819019951873129,-17.46237933798015,-17.464541353110505
The element with atomic symbol Pb is,lead,element,oxygen,house,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word lead.
<</SYS>>
The element with atomic symbol Pb is [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word oxygen.
<</SYS>>
The element with atomic symbol Pb is [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word house.
<</SYS>>
The element with atomic symbol Pb is [/INST] ",4.692180410999006e-06,4.832462710454999e-05,3.4266544432965196e-05,-12.269608484953785,-9.937520923513565,-10.281306793617503,-2.33208756144022,-1.9883016913362823
Tom Brady plays the sport of,football,sport,basketball,apple,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word football.
<</SYS>>
Tom Brady plays the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word basketball.
<</SYS>>
Tom Brady plays the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word apple.
<</SYS>>
Tom Brady plays the sport of [/INST] ",0.0181576987802529,0.9982700582169607,0.9986611542948103,-3.9903360600748217,6.357936082600735,6.614607707527249,-10.348272142675556,-10.60494376760207
Pele played the sport of,football,sport,baseball,cake,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word football.
<</SYS>>
Pele played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word baseball.
<</SYS>>
Pele played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word cake.
<</SYS>>
Pele played the sport of [/INST] ",2.1852827636102173e-05,0.09689371079852685,0.5157849105940648,-10.73115838046592,-2.232225640496589,0.06316063104624947,-8.498932739969332,-10.79431901151217
Art Blakey plays the,drums,instrument,trumpet,turtle,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word drums.
<</SYS>>
Art Blakey plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word trumpet.
<</SYS>>
Art Blakey plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word turtle.
<</SYS>>
Art Blakey plays the [/INST] ",0.005765634151012293,0.8452811424071427,0.5149969393646054,-5.150057811549854,1.6980596369576169,0.06000575615871404,-6.848117448507471,-5.210063567708568
The Hagia Sophia is in the country of,Turkey,country,Tibet,shoe,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Turkey.
<</SYS>>
The Hagia Sophia is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Tibet.
<</SYS>>
The Hagia Sophia is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word shoe.
<</SYS>>
The Hagia Sophia is in the country of [/INST] ",0.07934460855610041,0.9962540843992167,0.9982802084082135,-2.451285298862368,5.583336256591616,6.363830890933089,-8.034621555453985,-8.815116189795457
David Beckham played the sport of,football,sport,tennis,elephant,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word football.
<</SYS>>
David Beckham played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word tennis.
<</SYS>>
David Beckham played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word elephant.
<</SYS>>
David Beckham played the sport of [/INST] ",0.00028090865698936874,0.7606619903793258,0.34205578113348223,-8.17720005745087,1.1563122751237223,-0.6541463274804461,-9.333512332574593,-7.523053729970424
The Great Buddha of Kamakura is in the country of,Japan,country,Croatia,turtle,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Japan.
<</SYS>>
The Great Buddha of Kamakura is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Croatia.
<</SYS>>
The Great Buddha of Kamakura is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word turtle.
<</SYS>>
The Great Buddha of Kamakura is in the country of [/INST] ",0.7478934629835481,0.9998507379807482,0.9997118095043939,1.0874087745547163,8.8096580047737,8.151600621378067,-7.722249230218984,-7.064191846823351
John Bonham plays the,drums,instrument,saxophone,shoe,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word drums.
<</SYS>>
John Bonham plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word saxophone.
<</SYS>>
John Bonham plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word shoe.
<</SYS>>
John Bonham plays the [/INST] ",0.19229135584632978,0.3106449668698376,0.20922951039992882,-1.435189704387305,-0.7971057514140377,-1.3295759881135782,-0.6380839529732673,-0.10561371627372673
